Loading data...

============================================================
questions GAT 1L h=256 lr=3e-05 split=3 (ensemble x4)
============================================================

  Training model seed 0 (seed=3000)
Training for 5000 steps
  [mseed=3000] Step    1 | loss 0.8594 | val_acc=0.2664 val_roc_auc=0.5392 val_loss=0.7921 val_metric_name=roc_auc val_metric=0.5392
  [mseed=3000] Step   50 | loss 0.1406 | val_acc=0.9702 val_roc_auc=0.4563 val_loss=0.1525 val_metric_name=roc_auc val_metric=0.4563
  [mseed=3000] Step  100 | loss 0.1385 | val_acc=0.9702 val_roc_auc=0.5323 val_loss=0.1499 val_metric_name=roc_auc val_metric=0.5323
  [mseed=3000] Step  150 | loss 0.1365 | val_acc=0.9702 val_roc_auc=0.5859 val_loss=0.1456 val_metric_name=roc_auc val_metric=0.5859
  [mseed=3000] Step  200 | loss 0.1350 | val_acc=0.9702 val_roc_auc=0.6136 val_loss=0.1428 val_metric_name=roc_auc val_metric=0.6136
  [mseed=3000] Step  250 | loss 0.1339 | val_acc=0.9702 val_roc_auc=0.6346 val_loss=0.1405 val_metric_name=roc_auc val_metric=0.6346
  [mseed=3000] Step  300 | loss 0.1318 | val_acc=0.9702 val_roc_auc=0.6503 val_loss=0.1386 val_metric_name=roc_auc val_metric=0.6503
  [mseed=3000] Step  350 | loss 0.1301 | val_acc=0.9702 val_roc_auc=0.6621 val_loss=0.1372 val_metric_name=roc_auc val_metric=0.6621
  [mseed=3000] Step  400 | loss 0.1294 | val_acc=0.9702 val_roc_auc=0.6719 val_loss=0.1357 val_metric_name=roc_auc val_metric=0.6719
  [mseed=3000] Step  450 | loss 0.1277 | val_acc=0.9702 val_roc_auc=0.6800 val_loss=0.1345 val_metric_name=roc_auc val_metric=0.6800
  [mseed=3000] Step  500 | loss 0.1269 | val_acc=0.9702 val_roc_auc=0.6874 val_loss=0.1333 val_metric_name=roc_auc val_metric=0.6874
  [mseed=3000] Step  550 | loss 0.1264 | val_acc=0.9703 val_roc_auc=0.6941 val_loss=0.1320 val_metric_name=roc_auc val_metric=0.6941
  [mseed=3000] Step  600 | loss 0.1242 | val_acc=0.9704 val_roc_auc=0.7003 val_loss=0.1310 val_metric_name=roc_auc val_metric=0.7003
  [mseed=3000] Step  650 | loss 0.1234 | val_acc=0.9706 val_roc_auc=0.7057 val_loss=0.1301 val_metric_name=roc_auc val_metric=0.7057
