Loading data...

============================================================
questions GT-sep 1L h=256 lr=3e-05 split=6 (ensemble x4)
============================================================

  Training model seed 0 (seed=6000)
Training for 5000 steps
  [mseed=6000] Step    1 | loss 0.8847 | val_acc=0.4107 val_roc_auc=0.4845 val_loss=0.7551 val_metric_name=roc_auc val_metric=0.4845
  [mseed=6000] Step   50 | loss 0.1350 | val_acc=0.9702 val_roc_auc=0.4934 val_loss=0.1492 val_metric_name=roc_auc val_metric=0.4934
  [mseed=6000] Step  100 | loss 0.1314 | val_acc=0.9701 val_roc_auc=0.6023 val_loss=0.1398 val_metric_name=roc_auc val_metric=0.6023
  [mseed=6000] Step  150 | loss 0.1285 | val_acc=0.9701 val_roc_auc=0.6265 val_loss=0.1368 val_metric_name=roc_auc val_metric=0.6265
  [mseed=6000] Step  200 | loss 0.1270 | val_acc=0.9702 val_roc_auc=0.6470 val_loss=0.1350 val_metric_name=roc_auc val_metric=0.6470
  [mseed=6000] Step  250 | loss 0.1254 | val_acc=0.9711 val_roc_auc=0.6644 val_loss=0.1333 val_metric_name=roc_auc val_metric=0.6644
  [mseed=6000] Step  300 | loss 0.1245 | val_acc=0.9712 val_roc_auc=0.6786 val_loss=0.1318 val_metric_name=roc_auc val_metric=0.6786
  [mseed=6000] Step  350 | loss 0.1230 | val_acc=0.9711 val_roc_auc=0.6909 val_loss=0.1305 val_metric_name=roc_auc val_metric=0.6909
  [mseed=6000] Step  400 | loss 0.1218 | val_acc=0.9711 val_roc_auc=0.7011 val_loss=0.1293 val_metric_name=roc_auc val_metric=0.7011
  [mseed=6000] Step  450 | loss 0.1203 | val_acc=0.9711 val_roc_auc=0.7096 val_loss=0.1283 val_metric_name=roc_auc val_metric=0.7096
  [mseed=6000] Step  500 | loss 0.1191 | val_acc=0.9711 val_roc_auc=0.7157 val_loss=0.1275 val_metric_name=roc_auc val_metric=0.7157
  [mseed=6000] Step  550 | loss 0.1180 | val_acc=0.9712 val_roc_auc=0.7200 val_loss=0.1268 val_metric_name=roc_auc val_metric=0.7200
  [mseed=6000] Step  600 | loss 0.1178 | val_acc=0.9714 val_roc_auc=0.7234 val_loss=0.1263 val_metric_name=roc_auc val_metric=0.7234
  [mseed=6000] Step  650 | loss 0.1163 | val_acc=0.9717 val_roc_auc=0.7263 val_loss=0.1259 val_metric_name=roc_auc val_metric=0.7263
  [mseed=6000] Step  700 | loss 0.1153 | val_acc=0.9715 val_roc_auc=0.7300 val_loss=0.1254 val_metric_name=roc_auc val_metric=0.7300
