Loading data...

============================================================
questions TAG 1L h=256 lr=3e-05 split=2 (ensemble x4)
============================================================

  Training model seed 0 (seed=2000)
Training for 5000 steps
  [mseed=2000] Step    1 | loss 1.0653 | val_acc=0.0346 val_roc_auc=0.5374 val_loss=1.0040 val_metric_name=roc_auc val_metric=0.5374
  [mseed=2000] Step   50 | loss 0.1339 | val_acc=0.9702 val_roc_auc=0.5909 val_loss=0.1437 val_metric_name=roc_auc val_metric=0.5909
  [mseed=2000] Step  100 | loss 0.1294 | val_acc=0.9702 val_roc_auc=0.6888 val_loss=0.1369 val_metric_name=roc_auc val_metric=0.6888
  [mseed=2000] Step  150 | loss 0.1265 | val_acc=0.9701 val_roc_auc=0.7035 val_loss=0.1342 val_metric_name=roc_auc val_metric=0.7035
  [mseed=2000] Step  200 | loss 0.1241 | val_acc=0.9707 val_roc_auc=0.7136 val_loss=0.1326 val_metric_name=roc_auc val_metric=0.7136
  [mseed=2000] Step  250 | loss 0.1223 | val_acc=0.9711 val_roc_auc=0.7232 val_loss=0.1313 val_metric_name=roc_auc val_metric=0.7232
  [mseed=2000] Step  300 | loss 0.1210 | val_acc=0.9715 val_roc_auc=0.7323 val_loss=0.1300 val_metric_name=roc_auc val_metric=0.7323
  [mseed=2000] Step  350 | loss 0.1199 | val_acc=0.9715 val_roc_auc=0.7403 val_loss=0.1290 val_metric_name=roc_auc val_metric=0.7403
  [mseed=2000] Step  400 | loss 0.1173 | val_acc=0.9715 val_roc_auc=0.7474 val_loss=0.1283 val_metric_name=roc_auc val_metric=0.7474
  [mseed=2000] Step  450 | loss 0.1164 | val_acc=0.9714 val_roc_auc=0.7527 val_loss=0.1278 val_metric_name=roc_auc val_metric=0.7527
  [mseed=2000] Step  500 | loss 0.1148 | val_acc=0.9715 val_roc_auc=0.7570 val_loss=0.1274 val_metric_name=roc_auc val_metric=0.7570
  [mseed=2000] Step  550 | loss 0.1137 | val_acc=0.9714 val_roc_auc=0.7603 val_loss=0.1272 val_metric_name=roc_auc val_metric=0.7603
  [mseed=2000] Step  600 | loss 0.1116 | val_acc=0.9715 val_roc_auc=0.7630 val_loss=0.1270 val_metric_name=roc_auc val_metric=0.7630
  [mseed=2000] Step  650 | loss 0.1122 | val_acc=0.9717 val_roc_auc=0.7659 val_loss=0.1267 val_metric_name=roc_auc val_metric=0.7659
  [mseed=2000] Step  700 | loss 0.1111 | val_acc=0.9718 val_roc_auc=0.7678 val_loss=0.1269 val_metric_name=roc_auc val_metric=0.7678
  [mseed=2000] Step  750 | loss 0.1097 | val_acc=0.9720 val_roc_auc=0.7697 val_loss=0.1268 val_metric_name=roc_auc val_metric=0.7697
  [mseed=2000] Step  800 | loss 0.1085 | val_acc=0.9720 val_roc_auc=0.7718 val_loss=0.1269 val_metric_name=roc_auc val_metric=0.7718
  [mseed=2000] Step  850 | loss 0.1079 | val_acc=0.9719 val_roc_auc=0.7736 val_loss=0.1269 val_metric_name=roc_auc val_metric=0.7736
  [mseed=2000] Step  900 | loss 0.1059 | val_acc=0.9719 val_roc_auc=0.7757 val_loss=0.1271 val_metric_name=roc_auc val_metric=0.7757
  [mseed=2000] Step  950 | loss 0.1062 | val_acc=0.9719 val_roc_auc=0.7775 val_loss=0.1275 val_metric_name=roc_auc val_metric=0.7775
  [mseed=2000] Step 1000 | loss 0.1048 | val_acc=0.9718 val_roc_auc=0.7786 val_loss=0.1272 val_metric_name=roc_auc val_metric=0.7786
  [mseed=2000] Step 1050 | loss 0.1039 | val_acc=0.9718 val_roc_auc=0.7804 val_loss=0.1273 val_metric_name=roc_auc val_metric=0.7804
  [mseed=2000] Step 1100 | loss 0.1030 | val_acc=0.9720 val_roc_auc=0.7818 val_loss=0.1276 val_metric_name=roc_auc val_metric=0.7818
  [mseed=2000] Step 1150 | loss 0.1019 | val_acc=0.9719 val_roc_auc=0.7832 val_loss=0.1277 val_metric_name=roc_auc val_metric=0.7832
  [mseed=2000] Step 1200 | loss 0.1012 | val_acc=0.9719 val_roc_auc=0.7849 val_loss=0.1283 val_metric_name=roc_auc val_metric=0.7849
  [mseed=2000] Step 1250 | loss 0.1004 | val_acc=0.9721 val_roc_auc=0.7852 val_loss=0.1286 val_metric_name=roc_auc val_metric=0.7852
  [mseed=2000] Step 1300 | loss 0.0994 | val_acc=0.9720 val_roc_auc=0.7863 val_loss=0.1290 val_metric_name=roc_auc val_metric=0.7863
  [mseed=2000] Step 1350 | loss 0.0986 | val_acc=0.9720 val_roc_auc=0.7874 val_loss=0.1292 val_metric_name=roc_auc val_metric=0.7874
  [mseed=2000] Step 1400 | loss 0.0976 | val_acc=0.9720 val_roc_auc=0.7879 val_loss=0.1299 val_metric_name=roc_auc val_metric=0.7879
  [mseed=2000] Step 1450 | loss 0.0965 | val_acc=0.9715 val_roc_auc=0.7890 val_loss=0.1302 val_metric_name=roc_auc val_metric=0.7890
  [mseed=2000] Step 1500 | loss 0.0958 | val_acc=0.9714 val_roc_auc=0.7891 val_loss=0.1305 val_metric_name=roc_auc val_metric=0.7891
  [mseed=2000] Step 1550 | loss 0.0948 | val_acc=0.9715 val_roc_auc=0.7896 val_loss=0.1306 val_metric_name=roc_auc val_metric=0.7896
  [mseed=2000] Step 1600 | loss 0.0931 | val_acc=0.9717 val_roc_auc=0.7896 val_loss=0.1318 val_metric_name=roc_auc val_metric=0.7896
  [mseed=2000] Step 1650 | loss 0.0919 | val_acc=0.9715 val_roc_auc=0.7898 val_loss=0.1327 val_metric_name=roc_auc val_metric=0.7898
  [mseed=2000] Step 1700 | loss 0.0905 | val_acc=0.9715 val_roc_auc=0.7902 val_loss=0.1336 val_metric_name=roc_auc val_metric=0.7902
  [mseed=2000] Step 1750 | loss 0.0893 | val_acc=0.9713 val_roc_auc=0.7901 val_loss=0.1346 val_metric_name=roc_auc val_metric=0.7901
  [mseed=2000] Step 1800 | loss 0.0889 | val_acc=0.9713 val_roc_auc=0.7898 val_loss=0.1360 val_metric_name=roc_auc val_metric=0.7898
