Loading data...

============================================================
Training TABM-questions GCN 1L h=256 lr=3e-05 split=1
============================================================
Training for 5000 steps
Step    1 | loss 1.2006 | val_acc=0.0755 val_roc_auc=0.4851 val_loss=1.0634 val_metric_name=roc_auc val_metric=0.4851
Step   50 | loss 0.1730 | val_acc=0.9701 val_roc_auc=0.4845 val_loss=0.1474 val_metric_name=roc_auc val_metric=0.4845
Step  100 | loss 0.1568 | val_acc=0.9702 val_roc_auc=0.5289 val_loss=0.1488 val_metric_name=roc_auc val_metric=0.5289
Step  150 | loss 0.1508 | val_acc=0.9702 val_roc_auc=0.5710 val_loss=0.1439 val_metric_name=roc_auc val_metric=0.5710
Step  200 | loss 0.1472 | val_acc=0.9702 val_roc_auc=0.5979 val_loss=0.1402 val_metric_name=roc_auc val_metric=0.5979
Step  250 | loss 0.1440 | val_acc=0.9702 val_roc_auc=0.6189 val_loss=0.1375 val_metric_name=roc_auc val_metric=0.6189
Step  300 | loss 0.1410 | val_acc=0.9702 val_roc_auc=0.6377 val_loss=0.1352 val_metric_name=roc_auc val_metric=0.6377
Step  350 | loss 0.1396 | val_acc=0.9702 val_roc_auc=0.6555 val_loss=0.1334 val_metric_name=roc_auc val_metric=0.6555
Step  400 | loss 0.1373 | val_acc=0.9702 val_roc_auc=0.6728 val_loss=0.1320 val_metric_name=roc_auc val_metric=0.6728
Step  450 | loss 0.1365 | val_acc=0.9702 val_roc_auc=0.6883 val_loss=0.1307 val_metric_name=roc_auc val_metric=0.6883
Step  500 | loss 0.1351 | val_acc=0.9702 val_roc_auc=0.7014 val_loss=0.1296 val_metric_name=roc_auc val_metric=0.7014
Step  550 | loss 0.1340 | val_acc=0.9702 val_roc_auc=0.7113 val_loss=0.1286 val_metric_name=roc_auc val_metric=0.7113
Step  600 | loss 0.1338 | val_acc=0.9702 val_roc_auc=0.7183 val_loss=0.1277 val_metric_name=roc_auc val_metric=0.7183
Step  650 | loss 0.1326 | val_acc=0.9702 val_roc_auc=0.7230 val_loss=0.1270 val_metric_name=roc_auc val_metric=0.7230
Step  700 | loss 0.1314 | val_acc=0.9702 val_roc_auc=0.7263 val_loss=0.1262 val_metric_name=roc_auc val_metric=0.7263
Step  750 | loss 0.1307 | val_acc=0.9702 val_roc_auc=0.7286 val_loss=0.1256 val_metric_name=roc_auc val_metric=0.7286
Step  800 | loss 0.1302 | val_acc=0.9702 val_roc_auc=0.7303 val_loss=0.1250 val_metric_name=roc_auc val_metric=0.7303
Step  850 | loss 0.1302 | val_acc=0.9704 val_roc_auc=0.7317 val_loss=0.1244 val_metric_name=roc_auc val_metric=0.7317
Step  900 | loss 0.1302 | val_acc=0.9704 val_roc_auc=0.7328 val_loss=0.1239 val_metric_name=roc_auc val_metric=0.7328
Step  950 | loss 0.1294 | val_acc=0.9706 val_roc_auc=0.7339 val_loss=0.1234 val_metric_name=roc_auc val_metric=0.7339
Step 1000 | loss 0.1280 | val_acc=0.9708 val_roc_auc=0.7348 val_loss=0.1229 val_metric_name=roc_auc val_metric=0.7348
Step 1050 | loss 0.1281 | val_acc=0.9711 val_roc_auc=0.7357 val_loss=0.1225 val_metric_name=roc_auc val_metric=0.7357
Step 1100 | loss 0.1279 | val_acc=0.9711 val_roc_auc=0.7365 val_loss=0.1221 val_metric_name=roc_auc val_metric=0.7365
Step 1150 | loss 0.1271 | val_acc=0.9711 val_roc_auc=0.7373 val_loss=0.1217 val_metric_name=roc_auc val_metric=0.7373
Step 1200 | loss 0.1265 | val_acc=0.9711 val_roc_auc=0.7381 val_loss=0.1213 val_metric_name=roc_auc val_metric=0.7381
Step 1250 | loss 0.1264 | val_acc=0.9714 val_roc_auc=0.7389 val_loss=0.1209 val_metric_name=roc_auc val_metric=0.7389
Step 1300 | loss 0.1260 | val_acc=0.9717 val_roc_auc=0.7397 val_loss=0.1206 val_metric_name=roc_auc val_metric=0.7397
Step 1350 | loss 0.1262 | val_acc=0.9718 val_roc_auc=0.7406 val_loss=0.1203 val_metric_name=roc_auc val_metric=0.7406
