dataset,model,num_layers,hidden_dim,lr,split,best_step,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
roman-empire,ResNet,1,256,3e-05,1,940,acc,0.7129114866256714,0.7129114866256714,0.8420761823654175,,0.589206483393117,0.6881572956423985,0.686193079815938,0.5908440047980598,acc,0.6603707075119019,0.6603707075119019,1.0650291442871094,,0.5249216337376507,0.630703570577415,0.5643238877364145,0.5407225406401264,acc,0.6591951847076416,0.6591951847076416,1.054508924484253,,0.5246916807444806,0.6292001157247163,0.5415474321689098,0.5379838261189044
roman-empire,ResNet,1,256,6e-05,1,760,acc,0.7546553611755371,0.7546553611755371,0.6833982467651367,,0.6573595750923084,0.7394427564303621,0.7266122488751847,0.6523844817908357,acc,0.6601941585540771,0.6601941585540771,1.1374611854553223,,0.537520175983224,0.6372780899754463,0.55380791820317,0.5519957828136748,acc,0.6634309887886047,0.6634309887886047,1.1179726123809814,,0.5447903984739895,0.6394583606167218,0.5635508276080553,0.5572874011476274
roman-empire,ResNet,1,256,0.0001,1,460,acc,0.750154435634613,0.750154435634613,0.6999841332435608,,0.6515926314316257,0.7342892780023625,0.7204671592624653,0.6474461534315884,acc,0.6610767841339111,0.6610767841339111,1.128069519996643,,0.5364522661625423,0.6377316718365077,0.5528945699793586,0.5513952226745121,acc,0.6639604568481445,0.6639604568481445,1.1100828647613525,,0.5444154008037947,0.6399357037294485,0.5631178143785,0.5571074012992828
roman-empire,ResNet,1,256,1e-05,1,1900,acc,0.6868767142295837,0.6868767142295837,0.9314504265785217,,0.5446474438566798,0.6546796155983675,0.6430305751048666,0.5500725772211894,acc,0.6570167541503906,0.6570167541503906,1.0654911994934082,,0.5125840565854064,0.6220908467826647,0.5375524157336273,0.5288383669516062,acc,0.6554888486862183,0.6554888486862183,1.0557515621185303,,0.5072550272647678,0.6180389405619657,0.5287553257387058,0.5224003283384582
roman-empire,ResNet,1,384,3e-05,1,870,acc,0.7368282079696655,0.7368282079696655,0.7519115209579468,,0.630743772632721,0.7176027035369142,0.7038672433184272,0.6278658373369268,acc,0.6670785546302795,0.6670785546302795,1.1051546335220337,,0.5400954316861958,0.6408996016944172,0.5632295236331348,0.5533260164452136,acc,0.6659018397331238,0.6659018397331238,1.092902660369873,,0.5410913310426009,0.6392046013311845,0.5670121103439587,0.5526365683802144
roman-empire,ResNet,1,384,6e-05,1,450,acc,0.7337393164634705,0.7337393164634705,0.7595863342285156,,0.6266303214341109,0.7138490690620745,0.7010968473923486,0.6242173254047245,acc,0.6661959290504456,0.6661959290504456,1.1031221151351929,,0.5393707504024066,0.6400295791157599,0.5641825851848782,0.5528799780622271,acc,0.6660783290863037,0.6660783290863037,1.0914512872695923,,0.5414912078576759,0.6387887295405702,0.5701885870388206,0.5532532057725241
roman-empire,ResNet,1,384,0.0001,1,270,acc,0.7290619015693665,0.7290619015693665,0.7797808051109314,,0.6196107468610067,0.7083993355624042,0.7058386715454774,0.6183308765133261,acc,0.6663724184036255,0.6663724184036255,1.0939617156982422,,0.5393438488483779,0.6397032112626071,0.5636248533506181,0.5528308717119055,acc,0.6630780100822449,0.6630780100822449,1.0838698148727417,,0.536014929227796,0.635151086928401,0.577632961790425,0.5480652425468006
roman-empire,ResNet,1,384,1e-05,1,1710,acc,0.703644871711731,0.703644871711731,0.8702279329299927,,0.5781406583130702,0.6768331651092567,0.69691584567455,0.5804133480492065,acc,0.6654898524284363,0.6654898524284363,1.072277545928955,,0.5302930978106342,0.6340376228651531,0.5701548329189445,0.5459469322112155,acc,0.6586657166481018,0.6586657166481018,1.0634125471115112,,0.5209843540977905,0.6252474136101336,0.5538715952573882,0.5352537555544843
roman-empire,ResNet,1,512,3e-05,1,610,acc,0.7253552079200745,0.7253552079200745,0.7910003066062927,,0.6188096780639376,0.7050567163833721,0.6951960539558871,0.6201061115753141,acc,0.6647837162017822,0.6647837162017822,1.1027799844741821,,0.5398721640091669,0.6392477861155942,0.5622602008197718,0.5560689203033532,acc,0.6643134355545044,0.6643134355545044,1.0978538990020752,,0.5353320500900866,0.636682492977313,0.5432822757864617,0.551342277665754
roman-empire,ResNet,1,512,6e-05,1,300,acc,0.719795286655426,0.719795286655426,0.8163767457008362,,0.609871349967945,0.698219504229085,0.6870607042630517,0.6116605450644719,acc,0.6644306778907776,0.6644306778907776,1.0947729349136353,,0.538586935096292,0.6384754340302168,0.5625795557343506,0.5544957743118201,acc,0.6643134355545044,0.6643134355545044,1.0911258459091187,,0.5347141508878265,0.6357293477684468,0.544304807441582,0.5504298988028115
roman-empire,ResNet,1,512,0.0001,1,210,acc,0.727738082408905,0.727738082408905,0.7846423387527466,,0.6241560933479778,0.7086352297255837,0.6947727279709268,0.6247750532140423,acc,0.6646072268486023,0.6646072268486023,1.1041349172592163,,0.5407916973390514,0.6396909281156793,0.5594441065853801,0.5572915664409601,acc,0.6643134355545044,0.6643134355545044,1.099299669265747,,0.5385134454040184,0.6377586164888985,0.5448181302193342,0.5552761344961527
roman-empire,ResNet,1,512,1e-05,1,1660,acc,0.723060667514801,0.723060667514801,0.801374614238739,,0.6140993514531397,0.7017776330942359,0.6909008922512957,0.6151402937554323,acc,0.6654898524284363,0.6654898524284363,1.100343942642212,,0.5393219521398398,0.6395061217796022,0.5608071780505443,0.5552269549941302,acc,0.6641369462013245,0.6641369462013245,1.0954432487487793,,0.5345183430036925,0.6357225420755903,0.5440428411492155,0.5500389565894815
roman-empire,ResNet,1,256,3e-05,3,1240,acc,0.7401818037033081,0.7401818037033081,0.7440205812454224,,0.6308498358188993,0.720880138798066,0.706831201797266,0.6265875923784542,acc,0.6527802348136902,0.6527802348136902,1.106095314025879,,0.5280682262033042,0.6269948037203387,0.5479828978160719,0.534941427936602,acc,0.660607099533081,0.660607099533081,1.080049753189087,,0.5370190241736585,0.6369741337364302,0.560711828541931,0.5449267766604678
roman-empire,ResNet,1,256,6e-05,3,690,acc,0.7470656037330627,0.7470656037330627,0.7198764085769653,,0.6421724373880058,0.7292229165803222,0.7187330957732482,0.6373470996875853,acc,0.6538393497467041,0.6538393497467041,1.1174057722091675,,0.5310712537873084,0.6296867830076965,0.5492848898265953,0.5380334014976008,acc,0.6593716740608215,0.6593716740608215,1.0896074771881104,,0.5370052303421278,0.6370610073824933,0.5571465360638409,0.5456693224854603
roman-empire,ResNet,1,256,0.0001,3,410,acc,0.7422999143600464,0.7422999143600464,0.7402371168136597,,0.6364901742299377,0.7236035495299744,0.7155018459569831,0.6308811466910114,acc,0.6540158987045288,0.6540158987045288,1.1070481538772583,,0.5313318333783527,0.6290176780546152,0.5518337501168592,0.5372822619783559,acc,0.6613130569458008,0.6613130569458008,1.080833077430725,,0.5384792561520632,0.6384946781195069,0.5625182292054526,0.5451309720580632
roman-empire,ResNet,1,256,1e-05,3,2540,acc,0.7116759419441223,0.7116759419441223,0.8450475931167603,,0.5842892775903317,0.6854358551383708,0.6967614288202885,0.5859807525904113,acc,0.6503089070320129,0.6503089070320129,1.078012228012085,,0.5196152588473264,0.6202301611926632,0.5478350774028138,0.5274302299519433,acc,0.6574302911758423,0.6574302911758423,1.0620259046554565,,0.5232869953060633,0.6279559624226821,0.5488983893479298,0.5320193161997533
roman-empire,ResNet,1,384,3e-05,3,790,acc,0.7257965207099915,0.7257965207099915,0.7906675338745117,,0.6231867598541713,0.7059831951169521,0.690944761237673,0.6213838320113447,acc,0.6527802348136902,0.6527802348136902,1.1039001941680908,,0.5320219372918003,0.6275470844583108,0.551743375616425,0.5397699848766359,acc,0.660607099533081,0.660607099533081,1.0845909118652344,,0.5420795795270213,0.6374987501023986,0.5721568200558654,0.5479616639379938
roman-empire,ResNet,1,384,6e-05,3,400,acc,0.7222663760185242,0.7222663760185242,0.8042387962341309,,0.6183809102695631,0.7017156512459756,0.6910561098438008,0.6160765450040787,acc,0.6531332731246948,0.6531332731246948,1.0998066663742065,,0.5319377812778971,0.6273212853072907,0.5524497564396508,0.539367302383996,acc,0.6620190143585205,0.6620190143585205,1.0814740657806396,,0.5433468199200211,0.6386190082167325,0.576823941878187,0.5480466458983744
roman-empire,ResNet,1,384,0.0001,3,250,acc,0.721207320690155,0.721207320690155,0.809308648109436,,0.616216246595342,0.7009294327490124,0.6867386765377542,0.615581402772073,acc,0.6534863114356995,0.6534863114356995,1.0980373620986938,,0.5342807213823533,0.628333934125868,0.5527464543409066,0.5423297590040336,acc,0.6604306101799011,0.6604306101799011,1.0808135271072388,,0.5417158108740757,0.63698700010668,0.5738771931359701,0.5479298476217451
roman-empire,ResNet,1,384,1e-05,3,1150,acc,0.6797282099723816,0.6797282099723816,0.9690783023834229,,0.5312037547526222,0.6431424808085677,0.6123189791708714,0.5416598412367297,acc,0.6446601748466492,0.6446601748466492,1.099901795387268,,0.49646957924821156,0.6056248163828913,0.52835692166647,0.5095553797708103,acc,0.6521355509757996,0.6521355509757996,1.0969223976135254,,0.5022457536309155,0.6160468383236324,0.5576442408042844,0.514425926105678
roman-empire,ResNet,1,512,3e-05,3,600,acc,0.7283558249473572,0.7283558249473572,0.7928149104118347,,0.6238185649538686,0.7076197028755259,0.6999259920297528,0.6226126975694257,acc,0.654898464679718,0.654898464679718,1.1167458295822144,,0.5299420718125916,0.6287659632334829,0.550457872036382,0.5380118831290198,acc,0.6625485420227051,0.6625485420227051,1.08870530128479,,0.5411864217341192,0.6376693240143476,0.5864292846570374,0.5480588573381395
roman-empire,ResNet,1,512,6e-05,3,340,acc,0.7364751696586609,0.7364751696586609,0.7696406245231628,,0.6380596015607396,0.7183219909648122,0.7127063907013055,0.6348067795064911,acc,0.654898464679718,0.654898464679718,1.1269981861114502,,0.5337074237847643,0.6305980137396585,0.5530582842248152,0.541570478318574,acc,0.6629015207290649,0.6629015207290649,1.0966461896896362,,0.5434245683347759,0.6394585039491939,0.5804985970295365,0.5504849015511553
roman-empire,ResNet,1,512,0.0001,3,210,acc,0.7331215143203735,0.7331215143203735,0.783153235912323,,0.6336190218700896,0.7146734407572148,0.7031318685922946,0.6314577693056528,acc,0.6534863114356995,0.6534863114356995,1.1220886707305908,,0.5306077432643178,0.6287195763932832,0.5485817644381128,0.5392351280331514,acc,0.6625485420227051,0.6625485420227051,1.0922966003417969,,0.5425358081179241,0.6390136738908946,0.5846132552879686,0.5495987465876353
roman-empire,ResNet,1,512,1e-05,3,1800,acc,0.7369164228439331,0.7369164228439331,0.7659092545509338,,0.6383442032166305,0.7184502219935206,0.7149559040061891,0.6347873618909993,acc,0.654898464679718,0.654898464679718,1.1264452934265137,,0.5323165348795599,0.6299415484932419,0.5523702931642845,0.5402880376193897,acc,0.6629015207290649,0.6629015207290649,1.096152424812317,,0.5438516040602023,0.6393335085037337,0.5877736565333709,0.5503461848237636
roman-empire,ResNet,1,256,3e-05,2,1120,acc,0.729150116443634,0.729150116443634,0.7739571332931519,,0.6223973976106544,0.7094159127020099,0.6893749236439753,0.6230481946158262,acc,0.6536628007888794,0.6536628007888794,1.126173973083496,,0.5256179909563812,0.6271344765813651,0.5446909293024874,0.5377238785416804,acc,0.6572538018226624,0.6572538018226624,1.0827630758285522,,0.5251518331467566,0.6306091655517458,0.5434806188938839,0.5369377261499356
roman-empire,ResNet,1,256,6e-05,2,590,acc,0.7305622100830078,0.7305622100830078,0.7723888754844666,,0.6246930503394663,0.7110499372614513,0.6931841685320523,0.6249356652919241,acc,0.6541923880577087,0.6541923880577087,1.126954197883606,,0.5288138203573864,0.6279897906722418,0.5512199136861223,0.5399196430662957,acc,0.6570773124694824,0.6570773124694824,1.0842012166976929,,0.5249032340587728,0.630510090590944,0.5410646135134508,0.5371114359398441
roman-empire,ResNet,1,256,0.0001,2,340,acc,0.7241196632385254,0.7241196632385254,0.7990959882736206,,0.6153407899344222,0.7031469119184391,0.6902730876676596,0.6166755079931173,acc,0.6534863114356995,0.6534863114356995,1.1169613599777222,,0.524186112988597,0.625542909188377,0.5515673125446995,0.5361689957692782,acc,0.6569007635116577,0.6569007635116577,1.076367974281311,,0.524087433777078,0.6298699161407308,0.5431555890580823,0.5357521738058356
