dataset,model,num_layers,hidden_dim,lr,split,num_model_seeds,best_steps,individual_val_metrics,individual_val_accs,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
tolokers,ResNet,1,256,3e-05,0,4,"[700, 520, 620, 660]","[0.7382, 0.7364, 0.7366, 0.7375]","[0.7826, 0.7829, 0.7826, 0.7822]",roc_auc,0.7405611101048932,0.7827861905097961,0.45050543546676636,0.7405611101048932,,,,,roc_auc,0.737897296570714,0.783599853515625,0.45885759592056274,0.737897296570714,,,,,roc_auc,0.7213600340537214,0.7829931974411011,0.46679991483688354,0.7213600340537214,,,,
tolokers,ResNet,1,256,6e-05,0,4,"[360, 270, 350, 360]","[0.7379, 0.7366, 0.7367, 0.7373]","[0.7822, 0.7826, 0.7819, 0.7822]",roc_auc,0.7409447165755305,0.7826160788536072,0.4503995180130005,0.7409447165755305,,,,,roc_auc,0.7377717040796513,0.7829193472862244,0.4588407278060913,0.7377717040796513,,,,,roc_auc,0.7213180091587159,0.7829931974411011,0.46672582626342773,0.7213180091587159,,,,
tolokers,ResNet,1,256,0.0001,0,4,"[200, 180, 230, 210]","[0.7377, 0.736, 0.7363, 0.7372]","[0.7843, 0.7826, 0.7819, 0.7822]",roc_auc,0.7403866895677356,0.7827861905097961,0.4505440592765808,0.7403866895677356,,,,,roc_auc,0.7374974372343039,0.783599853515625,0.4586930274963379,0.7374974372343039,,,,,roc_auc,0.7210970395494932,0.7829931974411011,0.4665519595146179,0.7210970395494932,,,,
tolokers,ResNet,1,256,1e-05,0,4,"[1840, 1470, 1770, 1760]","[0.738, 0.7364, 0.7366, 0.7374]","[0.7822, 0.7829, 0.7826, 0.7822]",roc_auc,0.7404765708362757,0.7827861905097961,0.45082393288612366,0.7404765708362757,,,,,roc_auc,0.7377788323021172,0.783599853515625,0.4590744376182556,0.7377788323021172,,,,,roc_auc,0.7211343196982885,0.7829931974411011,0.4671226441860199,0.7211343196982885,,,,
tolokers,ResNet,1,384,3e-05,0,4,"[270, 300, 420, 350]","[0.7376, 0.7362, 0.7367, 0.7385]","[0.7836, 0.785, 0.7822, 0.7826]",roc_auc,0.7402193916971415,0.7826160788536072,0.4517468810081482,0.7402193916971415,,,,,roc_auc,0.7381837832260026,0.7822388410568237,0.4594382643699646,0.7381837832260026,,,,,roc_auc,0.7207804971951772,0.7819728255271912,0.4675663411617279,0.7207804971951772,,,,
tolokers,ResNet,1,384,6e-05,0,4,"[160, 150, 210, 180]","[0.7377, 0.7358, 0.7366, 0.7382]","[0.7836, 0.7839, 0.7833, 0.7826]",roc_auc,0.7396007372299068,0.7832964658737183,0.4518434703350067,0.7396007372299068,,,,,roc_auc,0.7379298827305573,0.7842803597450256,0.4592511057853699,0.7379298827305573,,,,,roc_auc,0.7205595275859545,0.7823129296302795,0.46730682253837585,0.7205595275859545,,,,
tolokers,ResNet,1,384,0.0001,0,4,"[110, 100, 140, 120]","[0.737, 0.7361, 0.7367, 0.7378]","[0.7843, 0.7843, 0.7833, 0.7839]",roc_auc,0.7399270231934374,0.7831264138221741,0.4512253701686859,0.7399270231934374,,,,,roc_auc,0.7380568329782801,0.783599853515625,0.4587911367416382,0.7380568329782801,,,,,roc_auc,0.7208672582687371,0.7823129296302795,0.4667103588581085,0.7208672582687371,,,,
tolokers,ResNet,1,384,1e-05,0,4,"[740, 910, 1200, 970]","[0.7373, 0.7359, 0.7367, 0.7386]","[0.7833, 0.7843, 0.7822, 0.7826]",roc_auc,0.740487848391668,0.7831264138221741,0.451740562915802,0.740487848391668,,,,,roc_auc,0.738097565678084,0.7825790643692017,0.45965659618377686,0.738097565678084,,,,,roc_auc,0.7209648644764919,0.7826530933380127,0.46781811118125916,0.7209648644764919,,,,
tolokers,ResNet,1,512,3e-05,0,4,"[230, 330, 370, 300]","[0.7367, 0.7371, 0.7354, 0.7389]","[0.7836, 0.7829, 0.7826, 0.7809]",roc_auc,0.740507181343769,0.7829563021659851,0.45319968461990356,0.740507181343769,,,,,roc_auc,0.7373616615682904,0.7822388410568237,0.46125006675720215,0.7373616615682904,,,,,roc_auc,0.7217016557808633,0.7819728255271912,0.4691106677055359,0.7217016557808633,,,,
tolokers,ResNet,1,512,6e-05,0,4,"[140, 200, 160, 140]","[0.7363, 0.737, 0.735, 0.7387]","[0.7833, 0.7833, 0.7839, 0.7822]",roc_auc,0.739826457925052,0.7829563021659851,0.4531703591346741,0.739826457925052,,,,,roc_auc,0.7371715756358714,0.7829193472862244,0.46081745624542236,0.7371715756358714,,,,,roc_auc,0.7213396994271059,0.7826530933380127,0.4686068892478943,0.7213396994271059,,,,
