Loading data...

============================================================
tolokers GCN 1L h=256 lr=3e-05 split=6 (ensemble x4)
============================================================

  Training model seed 0 (seed=6000)
Training for 5000 steps
  [mseed=6000] Step    1 | loss 0.6896 | val_acc=0.6220 val_roc_auc=0.3980 val_loss=0.6580 val_metric_name=roc_auc val_metric=0.3980
  [mseed=6000] Step   50 | loss 0.5340 | val_acc=0.7819 val_roc_auc=0.5773 val_loss=0.5188 val_metric_name=roc_auc val_metric=0.5773
  [mseed=6000] Step  100 | loss 0.4869 | val_acc=0.7833 val_roc_auc=0.6945 val_loss=0.4850 val_metric_name=roc_auc val_metric=0.6945
  [mseed=6000] Step  150 | loss 0.4749 | val_acc=0.7853 val_roc_auc=0.7167 val_loss=0.4802 val_metric_name=roc_auc val_metric=0.7167
  [mseed=6000] Step  200 | loss 0.4637 | val_acc=0.7853 val_roc_auc=0.7271 val_loss=0.4758 val_metric_name=roc_auc val_metric=0.7271
  [mseed=6000] Step  250 | loss 0.4588 | val_acc=0.7877 val_roc_auc=0.7329 val_loss=0.4722 val_metric_name=roc_auc val_metric=0.7329
  [mseed=6000] Step  300 | loss 0.4568 | val_acc=0.7873 val_roc_auc=0.7369 val_loss=0.4685 val_metric_name=roc_auc val_metric=0.7369
  [mseed=6000] Step  350 | loss 0.4531 | val_acc=0.7877 val_roc_auc=0.7400 val_loss=0.4658 val_metric_name=roc_auc val_metric=0.7400
  [mseed=6000] Step  400 | loss 0.4507 | val_acc=0.7890 val_roc_auc=0.7427 val_loss=0.4632 val_metric_name=roc_auc val_metric=0.7427
  [mseed=6000] Step  450 | loss 0.4468 | val_acc=0.7901 val_roc_auc=0.7453 val_loss=0.4607 val_metric_name=roc_auc val_metric=0.7453
  [mseed=6000] Step  500 | loss 0.4464 | val_acc=0.7918 val_roc_auc=0.7478 val_loss=0.4580 val_metric_name=roc_auc val_metric=0.7478
  [mseed=6000] Step  550 | loss 0.4411 | val_acc=0.7935 val_roc_auc=0.7505 val_loss=0.4556 val_metric_name=roc_auc val_metric=0.7505
  [mseed=6000] Step  600 | loss 0.4384 | val_acc=0.7938 val_roc_auc=0.7535 val_loss=0.4530 val_metric_name=roc_auc val_metric=0.7535
  [mseed=6000] Step  650 | loss 0.4362 | val_acc=0.7928 val_roc_auc=0.7569 val_loss=0.4501 val_metric_name=roc_auc val_metric=0.7569
  [mseed=6000] Step  700 | loss 0.4349 | val_acc=0.7924 val_roc_auc=0.7604 val_loss=0.4481 val_metric_name=roc_auc val_metric=0.7604
  [mseed=6000] Step  750 | loss 0.4300 | val_acc=0.7928 val_roc_auc=0.7636 val_loss=0.4454 val_metric_name=roc_auc val_metric=0.7636
  [mseed=6000] Step  800 | loss 0.4302 | val_acc=0.7935 val_roc_auc=0.7673 val_loss=0.4437 val_metric_name=roc_auc val_metric=0.7673
  [mseed=6000] Step  850 | loss 0.4249 | val_acc=0.7918 val_roc_auc=0.7709 val_loss=0.4405 val_metric_name=roc_auc val_metric=0.7709
  [mseed=6000] Step  900 | loss 0.4251 | val_acc=0.7918 val_roc_auc=0.7743 val_loss=0.4388 val_metric_name=roc_auc val_metric=0.7743
  [mseed=6000] Step  950 | loss 0.4210 | val_acc=0.7928 val_roc_auc=0.7774 val_loss=0.4367 val_metric_name=roc_auc val_metric=0.7774
  [mseed=6000] Step 1000 | loss 0.4180 | val_acc=0.7938 val_roc_auc=0.7805 val_loss=0.4346 val_metric_name=roc_auc val_metric=0.7805
  [mseed=6000] Step 1050 | loss 0.4167 | val_acc=0.7945 val_roc_auc=0.7830 val_loss=0.4335 val_metric_name=roc_auc val_metric=0.7830
  [mseed=6000] Step 1100 | loss 0.4126 | val_acc=0.7972 val_roc_auc=0.7855 val_loss=0.4304 val_metric_name=roc_auc val_metric=0.7855
